status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,
Satisfactory,validation-284,"protocol blocks partial repayment, even though they improve borrowers health in certain conditions",,"allow partial repay for overdued loan, maybe by design",Inadequate remediation for underwater borrowers,,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L51-L53,https://github.com/code-423n4/2024-06-size/blob/main/src/Size.sol#L250,"""https://github.com/code-423n4/2024-06-size/blob/main/src/Size.sol#L250,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L51-L53""",findings-107,"""DUPE-Compensate-005,DUPE-Size-003""",,,,,
Satisfactory,validation-113,Users can deposit USDC above the AToken cap,"QA, multicall",borrowATokenCap multicall,Insufficient proof alleging the flaw,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001""",DUPE-AccountingLibrary-001,DUPE-AccountingLibrary-001,DUPE-BuyCreditMarket-001,DUPE-SellCreditMarket-001,
Satisfactory,validation-145,The `borrowATokenCap` can be bypassed,"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",DUPE-Compensate-002,DUPE-Compensate-003,,,
Satisfactory,validation-249,AToken cap can be violated/bypassed through multicall,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-268,`CapsLibrary.sol#validateBorrowATokenIncreaseLteDebtTokenDecrease` uses wrong source of `borrowAToken` total supply rendering validation ineffective which allows anyone to bypass cap limit by deposit via `multicall`,"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-280,borrowATokenCap can be bypassed through multicall(),"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-309,Users Can Bypass `borrowATokenCap` Check Through `multicall` Due to Incorrect Validation,"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-322,The `borrowAtoken` supply checks in `multicall()` are completely wrong,"QA, multicall",borrowATokenCap multicall,Invalid validation entailed,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29-L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/CapsLibrary.sol#L19-L44""",findings-13,"""DUPE-CapsLibrary-003,DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-334,Borrow token supply cap can be bypassed using multicall,total supply,borrowATokenCap multicall,Invalid validation entailed,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""","""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
Satisfactory,validation-367,Deposits of underlying borrow token via multicall can go above the cap,total supply,borrowATokenCap multicall,Intended design. Known Solidified issue 7. Infeasible in the context after all,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,,"""https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L37""",findings-13,"""DUPE-Multicall-001,DUPE-Multicall-002""",,,,,
