issue,title,validator comment,grade,root cause (URL),size
validation-2,The Size contract does not properly enforce access control,,Unsatisfactory,,63
validation-3,This function is marked as an initializer but is also declared as public,,Unsatisfactory,,56
validation-4,lead to a front-running attack due to the state variable,,Unsatisfactory,,90
validation-5, The withdraw function in the provided code demonstrates the vulnerability,,Unsatisfactory,,60
validation-6,gasPrice,,Unsatisfactory,,61
validation-7,The smart contract's withdraw function is vulnerable to a reentrancy attack,,Unsatisfactory,,60
validation-8,A reentrancy attack on the withdraw,,Unsatisfactory,,43
validation-11,Potential Reentrancy Attack on the withdraw function in the Size Smart Contract,,Unsatisfactory,,76
validation-12, I found several potential vulnerabilities and weak points that a hacker could potentially exploit,,Unsatisfactory,,178
validation-13,5 Vonalblits ,,Unsatisfactory,,63
validation-14,10 Vonalblity of smart contact ,,Unsatisfactory,,199
validation-26,Incorrect Calculation in amountToWad Function within the Math library,,Unsatisfactory,,114
validation-50, Inconsistent State and Loss of Funds Due to Missing Token Transfer Logic in `buyCreditMarket` Function,,Unsatisfactory,,48
validation-51,Unrestricted Borrowed Amount Transfer Vulnerability in sellCreditMarket Function,,Unsatisfactory,,60
validation-52,Unvalidated Tenor Parameter Vulnerability in `getBorrowOfferAPR` and `getLoanOfferAPR`,,Unsatisfactory,,93
validation-53, Inaccurate Collateral Token Amount Calculation Due to Unaccounted Decimal Difference in `debtTokenAmountToCollateralTokenAmount`,,Unsatisfactory,,99
validation-54,Unchecked Repayment Amount Leads to Underflow Vulnerability in `repayDebt`,,Unsatisfactory,,79
validation-55,Inconsistent Total Debt Accounting Due to Missing Update in `createDebtAndCreditPositions`,,Unsatisfactory,,59
validation-56,Missing Update in `createCreditPosition` Function Leads to Inconsistent Credit Position Tracking.,,Unsatisfactory,,149
validation-57,Incorrect Credit Amount Calculation in `getCreditAmountIn` Function Due to Improper Fragmentation Fee Handling,creditAmountIn,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L250-L257,87
validation-58,Double-Counting of Fragmentation Fee in getCashAmountIn Function Leads to Incorrect Calculations,fragmentation fee double count,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L185,54
validation-59,Incorrect Variable Name in Error Message of `validateBorrowATokenIncreaseLteDebtTokenDecrease` Function Leads to Confusion,,Unsatisfactory,,68
validation-60,Unchecked Debt Position ID in `getDebtPositionByCreditPositionId` Function Leads to Potential Revert,,Unsatisfactory,,77
validation-61,Unhandled Invalid Position ID in getLoanStatus Function Causes Revert,,Unsatisfactory,,55
validation-62,Inaccurate Collateral Assignment in `getDebtPositionAssignedCollateral` Function for Borrowers with Multiple `DebtPositions`,,Unsatisfactory,,92
validation-81,Unauthorised access to buy and sell credit using the BuyCreditLimit library,,Unsatisfactory,,140
validation-82,Extremely High Gas Consumption on the Multicall library,,Unsatisfactory,,160
validation-89,Misconfigured Modifier Allows Unauthorised Access to updateConfig Function within the Size contract,,Unsatisfactory,,108
validation-97,Potential Reentrancy Vulnerability in Deposit and Withdraw Functions,,Unsatisfactory,,39
validation-101,Claim.sol Shortchanges Lenders Due to Flawed Rounding Logic,,Unsatisfactory,,62
validation-106,Unrestricted Proxy Initialisation in the Size contract,,Unsatisfactory,,134
validation-130,Users may be incorrectly liquidated or denied access to certain features based on the incorrect collateral ratio.,,Unsatisfactory,,92
validation-131,Incorrect Collateral Ratio Calculation Due to Decimal Mismatch in Reverse Markets,,Unsatisfactory,,99
validation-132,SelfLiquidate Function Allows Theft of Collateral Due to Incorrect Transfer Recipient,,Unsatisfactory,,54
validation-133,Unfair Collateral Distribution in Self-Liquidation: Repay Fee Omitted from Assigned Collateral Calculation,,Unsatisfactory,,141
validation-134,`DebtInCollateralToken` Check Missing,,Unsatisfactory,,104
validation-135,Incomplete Debt Position Update in `LiquidateWithReplacement` Due Date Not Reset,,Unsatisfactory,,104
validation-136,Incorrect Calculation Due to Order of Operations,,Unsatisfactory,,149
validation-168,USDC Collateral and WETH Debt Mismatch in collateralRatio Function,,Unsatisfactory,,93
validation-169,Incorrect Conversion in debtTokenAmountToCollateralTokenAmount (Reverse Market),,Unsatisfactory,,50
validation-170,Debt Not Reduced in Debt Position During Self-Liquidation,,Unsatisfactory,,114
validation-171,validateSelfLiquidate Uses Borrower's Overall Collateral Ratio ,,Unsatisfactory,,149
validation-172,executeLiquidateWithReplacement Miscalculates Rate for New Borrower (Liquidation),,Unsatisfactory,,111
validation-173,executeSelfLiquidate Sends Collateral to msg.sender (Not Borrower),,Unsatisfactory,,66
validation-174,executeSelfLiquidate Function: Pass assignedCollateral as Argument to transferFrom,,Unsatisfactory,,36
validation-175,Inconsistent Fee Deduction in SellCreditMarket (exactAmountIn=false),,Unsatisfactory,,110
validation-176,getDebtPositionAssignedCollateral Misuses Total Borrower Debt/Collateral (Liquidation),,Unsatisfactory,,97
validation-177,getCreditAmountOut Miscalculates Credit Due to Doubled Swap Fee (Fragmentation),,Unsatisfactory,,199
validation-178,executeSellCreditMarket Miscalculates maxCashAmountOut for Partial Lender Exits,,Unsatisfactory,,66
validation-179,BuyCreditMarket: Missing Fee Deduction from Buyer Payment (exactAmountIn=true),,Unsatisfactory,,129
validation-186,Insufficient fee check in `getCreditAmountOut` can lead to Underflow and incorrect credit calculation,,Unsatisfactory,,140
validation-193,Incorrect fee calculation in `getCashAmountOut()` results in overcharging users,,Unsatisfactory,,102
validation-199,`executeSellCreditMarket` Uses `Unupdated cashAmountOut` for `exactAmountIn=false`,,Unsatisfactory,,62
validation-200,`executeBuyCreditMarket` Uses Lender Address Instead of Borrower for Existing Loans,,Unsatisfactory,,96
validation-202,`executeLiquidate` Miscalculates Profit in Unprofitable Liquidations,,Unsatisfactory,,70
validation-204,The miscalculation of maxCashAmountOut in SellCreditMarket.sol negatively impacts the Size protocol by hindering the accurate valuation and trading of existing credit positions.,maxCashAmountOut,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/SellCreditMarket.sol#L173-L175,88
validation-205,getDebtPositionAssignedCollateral Reverts on Zero Debt with Non-Zero Collateral.,,Unsatisfactory,,101
validation-207,Unsuccessful Aave Withdrawal Leads to BorrowAToken Burn,,Unsatisfactory,,122
validation-209,`getCreditAmountOut` Doesn't Account for Swap Fee in Credit Fractionalization.,creditAmountOut miss swap fee,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L296,133
validation-210,Lender Mismatch When Creating New Credit Positions,,Unsatisfactory,,142
validation-211,Inconsistent Cash Amount Out Calculation in Existing Positions.,maxCashAmountOut math,Satisfactory,maxCashAmountOut,75
validation-253,Chainlink's `latestRoundData` might return stale or incorrect results in `PriceFeed.sol`,oracle stale,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Compensate.sol#L64-L89,86
validation-254, PriceFeed.sol Lacks Check for Min and Max Price Thresholds,oracle minAnswer,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/oracle/PriceFeed.sol#L84-L94,54
validation-256,Unhandled Chainlink latestRoundData() revert can lock price oracle access in PriceFeed.sol,oracle stale,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Compensate.sol#L64-L89,44
validation-259,Flawed liquidation reward calculation in `executeLiquidation` allows over-compensation of liquidators due to improper use of collateral value,,Unsatisfactory,,295
validation-260,Insufficient validation of credit position transferability in `validateSellCreditMarket` leads to at-risk credit transfers and possible systemic risk,,Unsatisfactory,,339
validation-273,Divergent Handling of Borrowing vs. Loan Exits,,Unsatisfactory,,86
validation-274,Incorrect BorrowAToken Mint in Deposit Underlying,,Unsatisfactory,,141
validation-275,Binary Search Function Returns Incorrect Indices,,Unsatisfactory,,85
validation-276,Missing BorrowOffer Validation in LiquidateWithReplacement ,,Unsatisfactory,,53
validation-277,Inaccurate Minimum Profit Check in LiquidateWithReplacement,,Unsatisfactory,,107
validation-279,Unbounded loop in `multicall` tolerates DoS attacks by exploiting excessive gas consumption,,Unsatisfactory,,151
validation-283,Incorrect Liquidation Ratio Validation Allows Setting Unsafe Liquidation Thresholds,admin input validation,Unsatisfactory,,67
