issue,title,validator comment,grade,size,Best
findings-112,QA Report,"Bot: 1, 3, 7, 8; 14 generic Lows",Satisfactory,3109,✰✰✰
findings-122,QA Report,5 Lows,Satisfactory,145,✰✰✰
findings-127,QA Report,FP: 5; 7 Lows,Satisfactory,214,✰✰✰
findings-132,QA Report,Gas: 3; FP: 5; 3 Lows,Unsatisfactory,342,✰✰✰
findings-135,QA Report,2 Lows,Unsatisfactory,121,✰✰✰
findings-154,QA Report,Upgrade: 2; 2 Lows,Unsatisfactory,1,✰✰✰
findings-157,QA Report,Gas: 3; 2 Lows,Unsatisfactory,79,✰✰✰
findings-48,QA Report,FP: 3; 3 Lows,Unsatisfactory,59,✰✰✰
findings-69,QA Report,"FP: 5, 9; 7 Lows",Satisfactory,391,✰✰✰
findings-89,QA Report,2 Lows,Unsatisfactory,54,✰✰✰
findings-9,QA Report,1 Low,Unsatisfactory,22,✰✰✰
findings-93,QA Report,2 Lows,Unsatisfactory,32,✰✰✰
validation-112,QA Report,1 Low,Unsatisfactory,22,✰✰✰
validation-115,Gas Optimizations,No gas pool,Unsatisfactory,28,✰✰✰
validation-117,QA Report,"Bot: 2; Gas: 3, 7; NC: 4, 5 , 6, 8, 9, 10, 11, 12; 1 Low",Unsatisfactory,726,✰✰✰
validation-118,Gas Optimizations,No gas pool,Unsatisfactory,55,✰✰✰
validation-149,QA Report,1 Low,Unsatisfactory,147,✰✰✰
validation-156,QA Report,Identical to validation-158,Unsatisfactory,1448,✰✰✰
validation-157,QA Report,Identical to validation-158,Unsatisfactory,1448,✰✰✰
validation-158,QA Report,"FP: 23, 10; Gas: 24; Bot: 20, 17, 15, 7, 5, 2, 11; 14 Lows (generic prone)",Unsatisfactory,1448,✰✰✰
validation-185,QA Report,2 Gases; 2 NC's,Unsatisfactory,211,✰✰✰
validation-206,QA Report,1 Low,Unsatisfactory,18,✰✰✰
validation-21,QA Report,1 Low,Unsatisfactory,26,✰✰✰
validation-217,QA Report,FP: 26; 26 Lows (generic prone),Satisfactory,418,★✰✰
validation-224,QA Report,2 Lows/NC's,Unsatisfactory,2,✰✰✰
validation-225,Gas Optimizations,No gas pool,Unsatisfactory,36,✰✰✰
validation-244,QA Report,"FP: 2, 3, 6; NC: 8; 8 Lows",Satisfactory,583,★★✰
validation-28,Gas Optimizations,No gas pool,Unsatisfactory,23,✰✰✰
validation-285,Gas Optimizations,No gas pool,Unsatisfactory,158,✰✰✰
validation-286,QA Report,"Bot: 9; NC: 5, 8; 7 Lows",Satisfactory,196,✰✰✰
validation-29,Gas Optimizations,No gas pool,Unsatisfactory,13,✰✰✰
validation-301,Gas Optimizations,No gas pool,Unsatisfactory,11,✰✰✰
